model,species_index,species_name,mean_total,std_total,cv_total,madydt_total,min,max,minmax_ratio,final_mean,final_std,final_cv,final_madydt,final_value,initial_mean,label
host_odes,5,pT,595.565685264427,10.928886136471123,0.01835042952754868,0.04393943319732333,509.900253355542,597.7554718914761,0.8530248192326306,597.7554718914761,0.0,0.0,0.0,597.7554718914761,532.3166395840326,0
host_odes,6,mE,9.236828326332416,15.941649771559105,1.725879188001233,0.0318485741233344,0.027679972804162685,41.354113435035025,0.0006693402543533108,0.028265387837021847,0.0003511963241796258,0.012424960385903705,1.2159448235516024e-05,0.027679972804162685,26.088462680435665,1
host_odes,7,cE,39.262087580721136,8.6880001772938,0.22128217607969594,0.020710927928179773,14.3451993941181,47.976514024430486,0.29900462102798825,40.34724696455023,0.08130382207855746,0.002015102099778712,0.0028144037455934473,40.21014929488027,16.248588686135545,1
host_odes,8,zE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
host_odes,9,pE,595.5656852644222,10.92888613647119,0.01835042952754894,0.043939433197319085,509.900253355544,597.7554718914713,0.8530248192326407,597.7554718914713,0.0,0.0,0.0,597.7554718914713,532.3166395840273,0
host_odes,10,mH,1636.6547355248185,2819.354338848207,1.7226323167935211,5.40688465410577,4.853128180079464,7252.924769042249,0.0006691270535157254,4.955768967087638,0.06157523309977355,0.012424960386308545,0.002131915421418832,4.853128180079464,4974.436632611394,0
host_odes,11,cH,6894.132063802453,1498.1092132245965,0.2173020765137933,3.495748254031633,2787.58939520311,8411.719778779108,0.33139351625045527,7074.0806942838935,14.254994860858364,0.0020151020997508412,0.4934492611074056,7050.043367051104,3104.447016542883,0
host_odes,12,zH,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
host_odes,13,pH,112996.99086559012,1720.0019725147924,0.015221661739300068,7.128511579452468,99084.8924308509,113334.51188927268,0.8742693710778621,113334.51188927266,1.4551915228366852e-11,1.2839791680211241e-16,1.0913936421275138e-12,113334.51188927268,103038.75508436041,0
host_odes,14,mR,1537.524920601397,3165.4670053412906,2.0588069584609583,7.8261387969467835,0.14951303077940506,9274.032043080197,1.6121685808921043e-05,0.15267514283946762,0.0018969826017559046,0.012424960386237123,6.567910926625776e-05,0.14951303077940506,5364.400101066374,0
host_odes,15,cR,1166.4568449236351,1841.0325600874864,1.5783117636109483,3.1755780529086937,217.19462413146616,6561.50164444711,0.03310135939922766,217.9351554986723,0.4391615894544275,0.002015102099748661,0.015201967025508729,217.19462413146616,6081.265062301286,0
host_odes,16,zR,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
host_odes,17,pR,0.0008296153682654253,0.0012265346494307727,1.4784377132704225,9.476625143253226e-06,6.836500676765607e-07,0.0169230409369701,4.039764899124354e-05,0.0014412224656234283,1.4999265361338636e-05,0.010407321359956109,5.192128430488785e-07,0.0014665148107430958,0.005705163481277757,1
host_odes,18,rr,898984.5606524444,231390.05551622392,0.25739046658186315,476.02539958093575,37575.7368810624,990498.4494287834,0.03793618950411501,990498.4494034908,1.4999291953282754e-05,1.5143175602461363e-11,5.192143737804157e-07,990498.4494287834,63058.444091231766,0
host_odes,19,R,674.8776862921109,529.8403202923643,0.7850908854364314,0.7266199455871964,0.5304977600947143,1452.5806466139197,0.00036521053845261267,1427.5286179649274,14.856749097800272,0.010407321374040063,0.5142795164765088,1452.5806466139197,1.383307950552429,0
host_odes,20,mG,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
host_odes,21,cG,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
host_odes,22,zG,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
host_odes,23,pG,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
host_odes,24,xS,100000.0,3160696.1258558217,31.606961258558215,74925.0,0.0,100000000.0,1e-20,0.0,0.0,0.0,0.0,0.0,4000000.0,0
host_odes,25,N,5025.481598382247,408.09931746547545,0.08120601169783342,2.082434829332639,1000.0,5098.705610021874,0.1961282090957416,5098.705610021874,0.0,0.0,6.821210263296962e-14,5098.705610021874,2714.108169786692,0
